,Name,Team,G,A1,A2,P1,Cluster
0,Ryan Merkley,GUE,12,30,13,42,0
1,Evan Bouchard,LDN,11,17,16,28,0
2,Nicolas Hague,MISS,14,7,3,21,3
3,Mac Hollowell,SSM,1,7,13,8,2
4,Giovanni Vallati,KIT,5,7,9,12,2
5,Sean Durzi,OS,10,4,2,14,3
6,Dennis Busby,FLNT,2,7,7,9,2
7,Nathan Allensen,BAR,2,5,8,7,2
8,Thomas Harley,MISS,1,6,8,7,2
9,Peter Stratis,OTT,1,3,11,4,2
10,Tyler Tucker,BAR,1,6,7,7,2
11,Elijah Roberts,KIT,3,3,8,6,2
12,Jacob Paquette,KGN,3,1,9,4,2
13,Reagan O'Grady,SBY,2,3,8,5,2
14,Conor Timmins,SSM,4,3,6,7,2
15,Lev Starikov,WSR,5,3,5,8,2
16,Billy Constantinou,NIAG,3,5,4,8,2
17,Nathan Staios,WSR,3,4,5,7,2
18,Owen Lalonde,SBY,2,4,6,6,2
19,Markus Phillips,OS,3,3,6,6,2
20,Jacob LeGuerrier,SSM,0,5,6,5,2
21,Nikita Okhotyuk,OTT,5,1,5,6,2
22,Connor Corcoran,WSR,5,2,3,7,1
23,Nick Grima,PBO,2,2,6,4,2
24,Brady Lyle,NB,1,3,6,4,2
25,Duncan Penman,SAG,4,3,3,7,1
26,Jack York,KIT,3,2,4,5,1
27,Liam Ross,SBY,4,2,3,6,1
28,Andrew Perrott,LDN,4,3,2,7,1
29,Carter Robertson,OTT,1,4,4,5,1
30,Samuel Duchesne,FLNT,1,5,2,6,1
31,Mitchell Brewer,OSH,2,3,3,5,1
32,Justin MacPherson,NIAG,1,1,5,2,1
33,Grayson Ladd,WSR/KIT,0,2,4,2,1
34,Noel Hoefenmayer,OTT,2,1,2,3,1
35,Declan Chisholm,PBO,1,2,2,3,1
36,Kevin Bahl,OTT,1,0,3,1,1
37,William Ennis,OSH,0,2,1,2,1
38,Hudson Wilson,OTT,1,1,1,2,1
39,Anthony DeMeo,SSM,0,0,3,0,1
40,Cole Fraser,PBO,0,2,1,2,1
41,Lucas Peric,OTT,2,1,0,3,1
42,Louka Henault,WSR,0,0,2,0,1
43,Zack Pilon,FLNT,0,1,1,1,1
44,Hayden Davis,NIAG,0,2,0,2,1
45,Brandon Bastasin,SBY,2,0,0,2,1
46,Simon Rose,NB,0,0,1,0,1
47,Michal Steinocher,FLNT,1,0,0,1,1
